rule_id,rule_review_status,clinical_node_id,rank,evidence_candidate_id,pmid,pmcid,locator,source_sha256,link_basis,link_status,supports_threshold_claim,human_verification_required
V3-DRAFT-KDRI-CA-UL,draft,K1,1,AI-FT-EV-K1-40775686-01,40775686,PMC12330119,"PMC12330119, Discussion and conclusions, Par13",671241244425e6b35d429f5e6de5d63ed0c71765a007afb71b05138d4dcc6210,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,2,AI-FT-EV-K1-39300483-01,39300483,PMC11414195,"PMC11414195, Methods/design > Safety procedures, Par46",a112e5a52784340b7477c16e44ee7d18965bcc347899c1e24e40de0c39e0eff0,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,3,AI-FT-EV-K1-24937025-01,24937025,PMC4209182,"PMC4209182, Introduction, html-p13",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,4,AI-FT-EV-K1-38892507-01,38892507,PMC11174535,"PMC11174535, 4. Discussion, p36",91b798af07ad370c936adb4ffcdc5e17c0e2af948a4435314602f9f8d16596c1,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,5,AI-FT-EV-K1-24937025-02,24937025,PMC4209182,"PMC4209182, Discussion, html-p62",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,6,AI-FT-EV-K1-24937025-03,24937025,PMC4209182,"PMC4209182, Introduction, html-p11",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,7,AI-FT-EV-K1-24937025-04,24937025,PMC4209182,"PMC4209182, Discussion, html-p50",faf44f01ec2f70a1586e96f96ed7d0559496f31dbe7943eecf3278a04a19b1a9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,8,AI-FT-EV-K1-38787821-01,38787821,PMC11125479,"PMC11125479, 4 Discussion, p14",6c652a12d3b8af25416468c8c451f195b08ea68d310c5b1acb9905295b4b04c9,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,9,AI-FT-EV-K1-40083990-01,40083990,PMC11903805,"PMC11903805, Discussion, p0350",33d3edb9423b1a73bd92cc1bd75d1da5fdf437a2ab462b83f8a1010cdc851930,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-CA-UL,draft,K1,10,AI-FT-EV-K1-40551736-01,40551736,PMC12183072,"PMC12183072, Human health > Bone health > Osteoporosis management, p23",521950060962b31b12f7bc9d579c0495229253139f161d6afcd4524dfd6b9d0d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,1,AI-FT-EV-K2-37207271-01,37207271,PMC10189633,"PMC10189633, Introduction > Context of the assessment, p12",fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,2,AI-FT-EV-K2-36367997-01,36367997,PMC9928634,"PMC9928634, Neuropathy Assessment, html-p19",a1aa7b65d1fa72bf4e6ca6986762fc6d6a17f70036cfd6868655811afb33dac6,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,3,AI-FT-EV-K2-39134879-01,39134879,PMC11458663,"PMC11458663, Discussion, Par33",97c49667b84c7be0447e36a890cd749895f8bf6251a33c8a3f3cd3f7af8fce1b,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,4,AI-FT-EV-K2-36367997-02,36367997,PMC9928634,"PMC9928634, DISCUSSION, html-p43",a1aa7b65d1fa72bf4e6ca6986762fc6d6a17f70036cfd6868655811afb33dac6,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,5,AI-FT-EV-K2-36367997-03,36367997,PMC9928634,"PMC9928634, DISCUSSION, html-p39",a1aa7b65d1fa72bf4e6ca6986762fc6d6a17f70036cfd6868655811afb33dac6,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,6,AI-FT-EV-K2-37207271-02,37207271,PMC10189633,"PMC10189633, Assessment > Hazard characterisation > Selection of the critical effect and the reference point, p230",fb6e35777f858f6fe4a52b278077a4b5809d1207073eea2bd1de125ec38b5529,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,7,AI-FT-EV-K2-40853095-01,40853095,PMC12376311,"PMC12376311, Introduction, p5",cbe2a5e17cce6061489cbf38f653424753b75013b78fc1573f9e54e73c8897a0,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,8,AI-FT-EV-K2-40853095-02,40853095,PMC12376311,"PMC12376311, Discussion, p25",cbe2a5e17cce6061489cbf38f653424753b75013b78fc1573f9e54e73c8897a0,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,9,AI-FT-EV-K2-36367997-04,36367997,PMC9928634,"PMC9928634, TABLE 1., html-p26",a1aa7b65d1fa72bf4e6ca6986762fc6d6a17f70036cfd6868655811afb33dac6,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-B6-UL,draft,K2,10,AI-FT-EV-K2-36367997-05,36367997,PMC9928634,"PMC9928634, Neuropathy Assessment, html-p18",a1aa7b65d1fa72bf4e6ca6986762fc6d6a17f70036cfd6868655811afb33dac6,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,1,AI-FT-EV-K3-42078226-01,42078226,PMC13134476,"PMC13134476, Review, p30",5629be2be8e431ac21d85907cdcbb9e286d4b20049b17e1aeb25324314bc19eb,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,2,AI-FT-EV-K3-40382392-01,40382392,PMC12085664,"PMC12085664, Discussion, Par19",95f1b9c900ef848396dc9cf60da55bc73d19ea8c3774f22941789878bd482e93,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,3,AI-FT-EV-K3-41562674-01,41562674,PMC12821660,"PMC12821660, 1. Background, p2",daa91d1def54789103451b0380804e8697f3734f16bcc91abb9a6461fbfd5afd,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,4,AI-FT-EV-K3-39494607-01,39494607,PMC11646675,"PMC11646675, Discussion > Conclusion, p42",4ac676e2e69f15a75ae2cb4987b8386b3f4fc584c5593be8f3118d8f7b2898f7,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,5,AI-FT-EV-K3-40073039-01,40073039,PMC11902287,"PMC11902287, Materials and methods > Statistical analysis, p28",ddb055055ff9ff197343024d9c1fe1e7161745b5b72f2f3272578dc006afa684,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,6,AI-FT-EV-K3-24899360-01,24899360,PMC4082414,"PMC4082414, Results and discussion, p12",f1eeb98cc57ff73f7446f99243933ab99618c63c8d06f5e0e9a5ab3ba9a8a592,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,7,AI-FT-EV-K3-25700159-01,25700159,PMC4336293,"PMC4336293, Methods > Selection and data extraction, p10",2be0dd11737ceac41febcde27b2da0a2ad4c1ae61fe3a3eea7a29e52fba75fd5,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,8,AI-FT-EV-K3-25700159-02,25700159,PMC4336293,"PMC4336293, Introduction, p2",2be0dd11737ceac41febcde27b2da0a2ad4c1ae61fe3a3eea7a29e52fba75fd5,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,9,AI-FT-EV-K3-37010569-01,37010569,PMC10068214,"PMC10068214, Results > Secondary endpoints, Par12",3137c2723de05948822782f9a6f36002eeb0df00c9839b5b1867d5e0cffdf885,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-FE-UL,draft,K3,10,AI-FT-EV-K3-39449947-01,39449947,PMC11501097,"PMC11501097, Materials and methods, p24",cea43f8a573845bce421f4a913d00f65c6782e8b5f9fbdba23331f9b5747ad3b,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,1,AI-FT-EV-K4-37487817-01,37487817,PMC10509448,"PMC10509448, Setting and shortcomings of the 1997 UL for Mg, p0050",e101137e5814304cbdefa60b094cfa94d12b39dc3077de8b82be4e101b2e1d5d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,2,AI-FT-EV-K4-37487817-02,37487817,PMC10509448,"PMC10509448, Introduction, p0020",e101137e5814304cbdefa60b094cfa94d12b39dc3077de8b82be4e101b2e1d5d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,3,AI-FT-EV-K4-37487817-03,37487817,PMC10509448,"PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0085",e101137e5814304cbdefa60b094cfa94d12b39dc3077de8b82be4e101b2e1d5d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,4,AI-FT-EV-K4-33275278-01,33275278,PMC8094374,"PMC8094374, Description of the intervention, html-p31",0b6f2a5d9a41605ed805644f9bc566caf41026454e05f8c3164309b9d9df8455,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,5,AI-FT-EV-K4-37487817-04,37487817,PMC10509448,"PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0100",e101137e5814304cbdefa60b094cfa94d12b39dc3077de8b82be4e101b2e1d5d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,6,AI-FT-EV-K4-37487817-05,37487817,PMC10509448,"PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0080",e101137e5814304cbdefa60b094cfa94d12b39dc3077de8b82be4e101b2e1d5d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,7,AI-FT-EV-K4-31105568-01,31105568,PMC6499034,"PMC6499034, Discussion > Adverse Events of Magnesium Sulfate Use and Classification of Intensity, p37",a1a6a0def85cad43180fddbb5d3f296f0b5f724094fbc367ac729cf6df0b09ca,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,8,AI-FT-EV-K4-32956536-01,32956536,PMC8094171,"PMC8094171, Magnesium versus placebo, html-p137",e9730eee169a2bc640122f0d05ca69cb1e1bbb18a0fade8e9fc270105566a578,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,9,AI-FT-EV-K4-32956536-02,32956536,PMC8094171,"PMC8094171, Adverse events, html-p161",e9730eee169a2bc640122f0d05ca69cb1e1bbb18a0fade8e9fc270105566a578,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-MG-UL,draft,K4,10,AI-FT-EV-K4-40944226-01,40944226,PMC12430086,"PMC12430086, 4. Discussion > 4.5. Limitations, p48",905c382f446c3d0a3de906032cc8cd234d52bfbc74f1b889c6df28d486654e7c,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,1,AI-FT-EV-K5-40334186-01,40334186,PMC12058182,"PMC12058182, Discussion, p28",3ec9dc65004f422a9a5cb273535bab8cc2921f5f8276334a8eb609fa61737ccb,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,2,AI-FT-EV-K5-34564844-01,34564844,PMC8464655,"PMC8464655, Infants (aged 6 to 23 months) (13 reviews), html-p168",f6684302d0536fa68deb68f13bb331adea2d12a2b070d8d3e04f9c6fd925c637,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,3,AI-FT-EV-K5-40334186-02,40334186,PMC12058182,"PMC12058182, Results > Secondary outcome > Treatment-associated adverse event rates., p20",3ec9dc65004f422a9a5cb273535bab8cc2921f5f8276334a8eb609fa61737ccb,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,4,AI-FT-EV-K5-41294920-01,41294920,PMC12651211,"PMC12651211, 7. Intervention Strategies > 7.1. Zinc Supplementation, p44",9e2a6efcb29fc9e6f1d5790c9f68916d59a7a735c22b838f53582b5beedb7d3d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,5,AI-FT-EV-K5-31910279-01,31910279,PMC6990807,"PMC6990807, Discussion, html-p83",07b883ee3c59f0dcd05bf876145f11a32c1dc321ea7df9190f72962e498ba479,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,6,AI-FT-EV-K5-34564844-02,34564844,PMC8464655,"PMC8464655, Supplementation, html-p43",f6684302d0536fa68deb68f13bb331adea2d12a2b070d8d3e04f9c6fd925c637,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,7,AI-FT-EV-K5-34564844-03,34564844,PMC8464655,"PMC8464655, Preschool and school‐aged children (aged 2 to 10 years), html-p314",f6684302d0536fa68deb68f13bb331adea2d12a2b070d8d3e04f9c6fd925c637,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,8,AI-FT-EV-K5-34564844-04,34564844,PMC8464655,"PMC8464655, Pregnant women of reproductive age (aged 15 to 49 years) (23 reviews), html-p256",f6684302d0536fa68deb68f13bb331adea2d12a2b070d8d3e04f9c6fd925c637,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,9,AI-FT-EV-K5-34564844-05,34564844,PMC8464655,"PMC8464655, Non‐pregnant women of reproductive age (aged 19 to 49 years), html-p320",f6684302d0536fa68deb68f13bb331adea2d12a2b070d8d3e04f9c6fd925c637,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
V3-DRAFT-KDRI-ZN-UL,draft,K5,10,AI-FT-EV-K5-41294920-02,41294920,PMC12651211,"PMC12651211, 8. Risk Factors and Barriers to Zinc Intervention > 8.3. Supplementation Acceptance and Compliance Issues, p52",9e2a6efcb29fc9e6f1d5790c9f68916d59a7a735c22b838f53582b5beedb7d3d,same_prespecified_clinical_node_and_ai_relevance_rank,ai_candidate_link_not_expert_verified,false,true
