record_id,decision,reason_code,full_text_path,reviewer_id,reviewed_at,locator,notes
EV-K1-40775686,include,INCLUDE,research_v3/full_text/oa_xml/PMC12330119.xml,권혁찬,2026-07-13T11:55:10.514Z,"PMC12330119, Discussion and conclusions, Par13; PMC12330119, Case presentation, Par7; PMC12330119, Background, Par4; PMC12330119, Case presentation, Par8; PMC12330119, Background, Par6",
EV-K1-40944226,include,INCLUDE,research_v3/full_text/oa_xml/PMC12430086.xml,권혁찬,2026-07-13T11:55:10.843Z,"PMC12430086, 4. Discussion > 4.5. Limitations, p48; PMC12430086, 4. Discussion > 4.1. Magnesium > 4.1.2. Protective Role of Magnesium in Chemotherapy-Induced Hepatotoxicity, p32; PMC12430086, 2. Materials and Methods, p16; PMC12430086, 4. Discussion > 4.1. Magnesium > 4.1.1. Protective Role of Magnesium in Chemotherapy-Induced Nephrotoxicity, p31; PMC12430086, 5. Conclusions, p52; PMC12430086, 3. Results > 3.2. The Role of Micronutrients in Chemotherapy-Induced Toxicity, p27; PMC12430086, 3. Results > 3.1. Chemotherapy-Induced Toxicity per System, p23; PMC12430086, 1. Introduction, p1",
EV-K1-41159913,include,INCLUDE,research_v3/full_text/oa_xml/PMC12908652.html,권혁찬,2026-07-13T11:55:11.400Z,"PMC12908652, Treatment and Response Assessment, html-p14; PMC12908652, Patients and Methods:, html-p5; PMC12908652, Treatment Tolerability, html-p32; PMC12908652, Introduction, html-p11; PMC12908652, Discussion, html-p38",
EV-K2-30838307,include,INCLUDE,research_v3/full_text/oa_xml/PMC6384168.html,권혁찬,2026-07-13T11:55:12.560Z,"PMC6384168, l‐dopa Iatrogenic Effect: Biochemical Considerations, html-p32; PMC6384168, PNP and Oral l‐dopa, html-p18; PMC6384168, Discussion, html-p30; PMC6384168, The Role of Genetic Factors, html-p38; PMC6384168, Small Fibers Neuropathy in PD Patients Treated With LCIG, html-p27",
EV-K2-35919449,include,INCLUDE,research_v3/full_text/oa_xml/PMC9339724.xml,권혁찬,2026-07-13T11:55:14.098Z,"PMC9339724, Introduction, p7; PMC9339724, Discussion, p31; PMC9339724, Introduction, p4; PMC9339724, Discussion, p46; PMC9339724, Discussion, p42",
EV-K2-36367997,include,INCLUDE,research_v3/full_text/oa_xml/PMC9928634.html,권혁찬,2026-07-13T11:55:14.403Z,"PMC9928634, Neuropathy Assessment, html-p19; PMC9928634, DISCUSSION, html-p43; PMC9928634, DISCUSSION, html-p39; PMC9928634, TABLE 1., html-p26; PMC9928634, Neuropathy Assessment, html-p18",
EV-K2-36381744,include,INCLUDE,research_v3/full_text/oa_xml/PMC9649334.xml,권혁찬,2026-07-13T11:55:14.188Z,"PMC9649334, Case presentation, p5; PMC9649334, Discussion, p10; PMC9649334, Introduction, p1; PMC9649334, Discussion, p7; PMC9649334, Discussion, p9",
EV-K2-37207271,include,INCLUDE,research_v3/full_text/oa_xml/PMC10189633.xml,권혁찬,2026-07-13T11:55:05.590Z,"PMC10189633, Introduction > Context of the assessment, p12; PMC10189633, Assessment > Hazard characterisation > Selection of the critical effect and the reference point, p230; PMC10189633, Assessment > Hazard characterisation > Selection of the critical effect and the reference point, p228; PMC10189633, Assessment > Hazard identification > Peripheral neuropathy > Evidence from human studies relating vitamin B6 intake to neuropathy > Prospective cohort study, p116; PMC10189633, Assessment > Hazard identification > Peripheral neuropathy > Evidence from human studies relating vitamin B6 intake to neuropathy > Nutrivigilance data, p126",
EV-K2-37447150,include,INCLUDE,research_v3/full_text/oa_xml/PMC10343656.xml,권혁찬,2026-07-13T11:55:05.741Z,"PMC10343656, 3. Results > 3.2. Neuropathy due to B6 Deficiency, p29; PMC10343656, 4. Conclusions, p52; PMC10343656, 4. Conclusions, p51; PMC10343656, 3. Results > 3.3. Neuropathy due to B6 Toxicity, p36; PMC10343656, 3. Results > 3.3. Neuropathy due to B6 Toxicity, p35",
EV-K2-37697258,include,INCLUDE,research_v3/full_text/oa_xml/PMC10494335.xml,권혁찬,2026-07-13T11:55:05.904Z,"PMC10494335, Discussion, Par33; PMC10494335, Introduction, Par10; PMC10494335, Materials and methods > Study protocol > Sample size, Par21; PMC10494335, Materials and methods > Study protocol > Grouping, treatment, and follow-up, Par17; PMC10494335, Introduction, Par9",
EV-K2-39134879,include,INCLUDE,research_v3/full_text/oa_xml/PMC11458663.xml,권혁찬,2026-07-13T11:55:07.412Z,"PMC11458663, Discussion, Par33; PMC11458663, Introduction, Par5; PMC11458663, Discussion, Par32; PMC11458663, Conclusion, Par34; PMC11458663, Discussion, Par30",
EV-K2-40853095,include,INCLUDE,research_v3/full_text/oa_xml/PMC12376311.xml,권혁찬,2026-07-13T11:55:10.696Z,"PMC12376311, Introduction, p5; PMC12376311, Discussion, p25; PMC12376311, Discussion, p39; PMC12376311, Introduction, p6; PMC12376311, Introduction, p4",
EV-K3-24899360,include,INCLUDE,research_v3/full_text/oa_xml/PMC4082414.xml,권혁찬,2026-07-13T11:55:11.778Z,"PMC4082414, Results and discussion, p12; PMC4082414, Methods > Gastrointestinal symptom questionnaire, p4; PMC4082414, Results and discussion, p13; PMC4082414, Conclusions, p15; PMC4082414, Background, p3",
EV-K3-25700159,include,INCLUDE,research_v3/full_text/oa_xml/PMC4336293.xml,권혁찬,2026-07-13T11:55:12.009Z,"PMC4336293, Methods > Selection and data extraction, p10; PMC4336293, Introduction, p2; PMC4336293, Results > Individual gastrointestinal symptoms reported, p23; PMC4336293, Discussion, p29; PMC4336293, Results > Study characteristics, p16",
EV-K3-37010569,include,INCLUDE,research_v3/full_text/oa_xml/PMC10068214.xml,권혁찬,2026-07-13T11:55:05.358Z,"PMC10068214, Results > Secondary endpoints, Par12; PMC10068214, Discussion, Par14; PMC10068214, Introduction, Par3; PMC10068214, Discussion, Par18; PMC10068214, Introduction, Par2",
EV-K3-38641845,include,INCLUDE,research_v3/full_text/oa_xml/PMC11027386.xml,권혁찬,2026-07-13T11:55:06.462Z,"PMC11027386, Background {6a and 6B}, Par5; PMC11027386, Methods/design {8} > Statistical plan > Methods for additional analyses (e.g. subgroup analyses) {20b}, Par48; PMC11027386, Methods/design {8} > Procedure for unblinding if needed {17b}, Par29; PMC11027386, Methods/design {8} > Outcome measures {12}, Par40; PMC11027386, Methods/design {8} > Eligibility criteria {10}, Par25",
EV-K3-39114275,include,INCLUDE,research_v3/full_text/oa_xml/PMC11304700.xml,권혁찬,2026-07-13T11:55:07.115Z,"PMC11304700, Introduction, p0045; PMC11304700, Introduction, p0035; PMC11304700, Discussion, p0175; PMC11304700, Introduction, p0040; PMC11304700, Body, p0010",
EV-K3-39449947,include,INCLUDE,research_v3/full_text/oa_xml/PMC11501097.xml,권혁찬,2026-07-13T11:55:08.974Z,"PMC11501097, Materials and methods, p24; PMC11501097, Results, p37; PMC11501097, Discussion, p48; PMC11501097, Discussion, p42; PMC11501097, Materials and methods, p22",
EV-K3-39494607,include,INCLUDE,research_v3/full_text/oa_xml/PMC11646675.xml,권혁찬,2026-07-13T11:55:09.280Z,"PMC11646675, Discussion > Conclusion, p42; PMC11646675, Materials and methods > Assessments, p12; PMC11646675, Results > Patient demographics, intolerance development and treatment discontinuation, p21; PMC11646675, Results > Intolerance data at baseline and within 3 months of iron replacement in study groups, p25; PMC11646675, Results > Intolerance data at baseline and within 3 months of iron replacement in study groups, p23",
EV-K3-39670550,include,INCLUDE,research_v3/full_text/oa_xml/PMC11639052.html,권혁찬,2026-07-13T11:55:09.178Z,"PMC11639052, Oral iron therapy, html-p62; PMC11639052, Comparison 5: Oral iron supplementation versus placebo or no treatment, html-p295; PMC11639052, Important outcomes, html-p93; PMC11639052, Why it is important to do this review, html-p70; PMC11639052, Implications for research, html-p357",
EV-K3-40050333,include,INCLUDE,research_v3/full_text/oa_xml/PMC11885599.xml,권혁찬,2026-07-13T11:55:09.469Z,"PMC11885599, Methods > Nutritional intervention, Par50; PMC11885599, Discussion, Par36; PMC11885599, Methods > Nutritional intervention, Par45; PMC11885599, Introduction, Par8; PMC11885599, Methods > Nutritional intervention, Par48",
EV-K3-40073039,include,INCLUDE,research_v3/full_text/oa_xml/PMC11902287.xml,권혁찬,2026-07-13T11:55:09.591Z,"PMC11902287, Materials and methods > Statistical analysis, p28; PMC11902287, Results > Adverse events, p36; PMC11902287, Materials and methods > Protocol, p13; PMC11902287, Materials and methods > Outcomes, p21; PMC11902287, Discussion, p40",
EV-K3-40224710,include,INCLUDE,research_v3/full_text/oa_xml/PMC11992272.html,권혁찬,2026-07-13T11:55:09.794Z,"PMC11992272, Introduction, html-p5; PMC11992272, Abstract, html-p3; PMC11992272, Discussion, html-p27; PMC11992272, Trial Participants and Eligibility Criteria, html-p8; PMC11992272, Randomisation and Study Intervention, html-p9",
EV-K3-40382392,include,INCLUDE,research_v3/full_text/oa_xml/PMC12085664.xml,권혁찬,2026-07-13T11:55:10.086Z,"PMC12085664, Discussion, Par19; PMC12085664, Materials and methods > Clinical, Par7; PMC12085664, Discussion, Par18; PMC12085664, Results > Study design and demographics, Par10; PMC12085664, Introduction, Par5",
EV-K3-40542094,include,INCLUDE,research_v3/full_text/oa_xml/PMC12811114.xml,권혁찬,2026-07-13T11:55:11.178Z,"PMC12811114, Discussion > Efficacy of liposomal iron intervention, Par47; PMC12811114, Results > Compliance and adverse effects, Par40; PMC12811114, Methods > Study groups and intervention, Par29; PMC12811114, Methods > Study groups and intervention, Par30; PMC12811114, Discussion > Prevalence of iron deficiency anemia and non-anemic iron deficiency, Par42",
EV-K3-40841680,include,INCLUDE,research_v3/full_text/oa_xml/PMC12372323.xml,권혁찬,2026-07-13T11:55:10.587Z,"PMC12372323, Introduction, Par9; PMC12372323, Results > Adverse effects of the iron supplementation, Par38; PMC12372323, Discussion, Par46; PMC12372323, Introduction, Par11; PMC12372323, Discussion, Par50",
EV-K3-41562674,include,INCLUDE,research_v3/full_text/oa_xml/PMC12821660.xml,권혁찬,2026-07-13T11:55:11.300Z,"PMC12821660, 1. Background, p2; PMC12821660, 4. Discussion, p19; PMC12821660, 3. Results, p13; PMC12821660, 2. Materials and Methods, p8; PMC12821660, 2. Materials and Methods, p5",
EV-K3-42078226,include,INCLUDE,research_v3/full_text/oa_xml/PMC13134476.xml,권혁찬,2026-07-13T11:55:11.553Z,"PMC13134476, Review, p30; PMC13134476, Review, p42; PMC13134476, Introduction and background, p4; PMC13134476, Introduction and background, p2; PMC13134476, Review, p36",
EV-K4-29360138,include,INCLUDE,research_v3/full_text/oa_xml/PMC6491191.html,권혁찬,2026-07-13T11:55:12.703Z,"PMC6491191, Other aspects of radiotherapy delivery, html-p34; PMC6491191, Selection criteria, html-p6; PMC6491191, Main results, html-p9; PMC6491191, Description of the intervention, html-p22; PMC6491191, Data extraction and analysis, html-p540",
EV-K4-30136128,include,INCLUDE,research_v3/full_text/oa_xml/PMC6361089.html,권혁찬,2026-07-13T11:55:12.225Z,"PMC6361089, Introduction, html-p5; PMC6361089, Discussion, html-p16; PMC6361089, Discussion, html-p17; PMC6361089, Abstract, html-p3; PMC6361089, Table 1., html-p24",
EV-K4-30805197,include,INCLUDE,research_v3/full_text/oa_xml/PMC6373027.xml,권혁찬,2026-07-13T11:55:12.317Z,"PMC6373027, Results > Risk factors for the development of hypermagnesemia, Par25; PMC6373027, Conclusions, Par35; PMC6373027, Discussion, Par28; PMC6373027, Methods > Patients and data collection, Par21; PMC6373027, Discussion, Par30",
EV-K4-31105568,include,INCLUDE,research_v3/full_text/oa_xml/PMC6499034.xml,권혁찬,2026-07-13T11:55:12.816Z,"PMC6499034, Discussion > Adverse Events of Magnesium Sulfate Use and Classification of Intensity, p37; PMC6499034, Discussion > Intravenous Dose of Magnesium Sulfate Most Frequently Used in Induction of General Anesthesia and Sedation, p43; PMC6499034, Discussion > Adverse Events of Magnesium Sulfate Use and Classification of Intensity, p33; PMC6499034, Results, p17; PMC6499034, Results, p16",
EV-K4-31498421,include,INCLUDE,research_v3/full_text/oa_xml/PMC6953350.html,권혁찬,2026-07-13T11:55:12.946Z,"PMC6953350, Incomplete outcome data, html-p109; PMC6953350, Summary of main results, html-p150; PMC6953350, Summary of main results, html-p151; PMC6953350, Selective reporting, html-p114; PMC6953350, Selective reporting, html-p112",
EV-K4-32956536,include,INCLUDE,research_v3/full_text/oa_xml/PMC8094171.html,권혁찬,2026-07-13T11:55:13.400Z,"PMC8094171, Magnesium versus placebo, html-p137; PMC8094171, Adverse events, html-p161; PMC8094171, Magnesium versus other treatments, html-p148; PMC8094171, Why it is important to do this review, html-p23; PMC8094171, Summary of findings 1. Magnesium for idiopathic rest cramps (largely older adults)., html-p93",
EV-K4-33275278,include,INCLUDE,research_v3/full_text/oa_xml/PMC8094374.html,권혁찬,2026-07-13T11:55:13.514Z,"PMC8094374, Description of the intervention, html-p31; PMC8094374, Why it is important to do this review, html-p35; PMC8094374, Why it is important to do this review, html-p33; PMC8094374, Overall completeness and applicability of evidence, html-p179; PMC8094374, Other potential sources of bias, html-p125",
EV-K4-35280833,include,INCLUDE,research_v3/full_text/oa_xml/PMC8860108.xml,권혁찬,2026-07-13T11:55:13.872Z,"PMC8860108, INTRODUCTION, p1; PMC8860108, RESULTS, p40; PMC8860108, INTRODUCTION, p2; PMC8860108, DISCUSSION, p61; PMC8860108, MATERIALS AND METHODS > Randomization, p15",
EV-K4-37487817,include,INCLUDE,research_v3/full_text/oa_xml/PMC10509448.xml,권혁찬,2026-07-13T11:55:06.088Z,"PMC10509448, Setting and shortcomings of the 1997 UL for Mg, p0050; PMC10509448, Introduction, p0020; PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0085; PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0100; PMC10509448, Recent and needed evidence for re-evaluating the UL for Mg > Methods, p0080",
EV-K4-40272825,include,INCLUDE,research_v3/full_text/oa_xml/PMC12022858.html,권혁찬,2026-07-13T11:55:09.881Z,"PMC12022858, Discussion, html-p49; PMC12022858, Figure 2. Cisplatin-Associated Acute Kidney Injury (CP-AKI) or Death in Intravenous Magnesium−Treated (IV Mg) vs Nontreated Patients., html-p44; PMC12022858, Methods, html-p27; PMC12022858, Introduction, html-p23; PMC12022858, Discussion, html-p47",
EV-K4-41286042,include,INCLUDE,research_v3/full_text/oa_xml/PMC12644863.xml,권혁찬,2026-07-13T11:55:10.954Z,"PMC12644863, Discussion, Par49; PMC12644863, Methods > Statistical analysis, Par24; PMC12644863, Introduction, Par18; PMC12644863, Results > Risk factors for CDDP-induced nephrotoxicity, Par38; PMC12644863, Discussion, Par43",
EV-K4-42106847,include,INCLUDE,research_v3/full_text/oa_xml/PMC13325581.html,권혁찬,2026-07-13T11:55:11.653Z,"PMC13325581, Fig. 3., html-p50; PMC13325581, Dietary patterns modify metal–IVF associations, html-p64; PMC13325581, Conclusions, html-p9; PMC13325581, Strengths and limitations, html-p69; PMC13325581, Fig. 3., html-p48",
EV-K5-29424482,include,INCLUDE,research_v3/full_text/oa_xml/PMC5866964.xml,권혁찬,2026-07-13T11:55:12.095Z,"PMC5866964, Results > Retrospective Analysis of Medical Records, p27; PMC5866964, Results > Clinical Case Series, p20; PMC5866964, Discussion, p32",
EV-K5-30779870,include,INCLUDE,research_v3/full_text/oa_xml/PMC6380771.html,권혁찬,2026-07-13T11:55:12.466Z,"PMC6380771, Description of the condition, html-p32; PMC6380771, Types of outcome measures, html-p54; PMC6380771, Description of the condition, html-p31; PMC6380771, Types of participants, html-p48; PMC6380771, Overall completeness and applicability of evidence, html-p177",
EV-K5-31910279,include,INCLUDE,research_v3/full_text/oa_xml/PMC6990807.html,권혁찬,2026-07-13T11:55:13.053Z,"PMC6990807, Discussion, html-p83; PMC6990807, Results, html-p24; PMC6990807, Procedures, html-p36; PMC6990807, Discussion, html-p79; PMC6990807, Table 4. Couple-Based Secondary Outcomes., html-p78",
EV-K5-32075071,include,INCLUDE,research_v3/full_text/oa_xml/PMC7071347.xml,권혁찬,2026-07-13T11:55:13.181Z,"PMC7071347, 1. Introduction > 1.2. Current Strategies and Interventions, p6; PMC7071347, 3. Results > 3.7. Multiple Micronutrient Supplementation Versus Iron Folic Acid Supplementation > 3.7.1. Child Health and Developmental Outcomes, p53; PMC7071347, 3. Results, p22; PMC7071347, 4. Discussion, p69; PMC7071347, 4. Discussion, p66",
EV-K5-33166742,include,INCLUDE,research_v3/full_text/oa_xml/PMC7704399.xml,권혁찬,2026-07-13T11:55:13.291Z,"PMC7704399, Discussion, p0170; PMC7704399, Results > Circulating methylglyoxal, magnesium, and their interaction are strongly associated with DSPN, p0150; PMC7704399, Results > The neuroprotective effect of magnesium results from intracellular reduction of methylglyoxal production, p0160; PMC7704399, Results > Magnesium supplementations prevents neurite degeneration in DRGs resulting from downregulation of mitochondrial activity, p0165; PMC7704399, Results > Magnesium prevents methylglyoxal-mediated neurotoxicity, p0155",
EV-K5-34564844,include,INCLUDE,research_v3/full_text/oa_xml/PMC8464655.html,권혁찬,2026-07-13T11:55:13.732Z,"PMC8464655, Infants (aged 6 to 23 months) (13 reviews), html-p168; PMC8464655, Supplementation, html-p43; PMC8464655, Preschool and school‐aged children (aged 2 to 10 years), html-p314; PMC8464655, Pregnant women of reproductive age (aged 15 to 49 years) (23 reviews), html-p256; PMC8464655, Non‐pregnant women of reproductive age (aged 19 to 49 years), html-p320",
EV-K5-35397572,include,INCLUDE,research_v3/full_text/oa_xml/PMC8994895.xml,권혁찬,2026-07-13T11:55:13.972Z,"PMC8994895, Background, Par19; PMC8994895, Results > Safety and tolerability, Par50; PMC8994895, Results > Patient disposition and baseline characteristics, Par37; PMC8994895, Conclusions, Par58; PMC8994895, Results > Patient disposition and baseline characteristics, Par36",
EV-K5-37051178,include,INCLUDE,research_v3/full_text/oa_xml/PMC8356361.xml,권혁찬,2026-07-13T11:55:13.635Z,"PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of studies awaiting classification > Characteristics of ongoing studies, p558; PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of studies awaiting classification > Characteristics of ongoing studies, p557; PMC8356361, PUBLISHED NOTES > Characteristics of studies > Characteristics of included studies, p305; PMC8356361, DATA AND ANALYSES, p573; PMC8356361, RESULTS > Participants, p111",
EV-K5-37736439,include,INCLUDE,research_v3/full_text/oa_xml/PMC10510946.xml,권혁찬,2026-07-13T11:55:06.286Z,"PMC10510946, Conclusions, p14; PMC10510946, Case presentation, p6; PMC10510946, Introduction, p1; PMC10510946, Discussion, p9; PMC10510946, Discussion, p12",
EV-K5-38846187,include,INCLUDE,research_v3/full_text/oa_xml/PMC11155223.xml,권혁찬,2026-07-13T11:55:06.806Z,"PMC11155223, Introduction, p3; PMC11155223, Introduction, p1; PMC11155223, Discussion, p9; PMC11155223, Discussion, p11; PMC11155223, Conclusions, p13",
EV-K5-39641338,include,INCLUDE,research_v3/full_text/oa_xml/PMC11622351.xml,권혁찬,2026-07-13T11:55:09.094Z,"PMC11622351, DISCUSSION, p58; PMC11622351, RESULTS > Effect estimates > Vomiting, p47; PMC11622351, DISCUSSION, p57; PMC11622351, RESULTS > Comparison 3: High dose vs low dose zinc supplementation > Effect estimates, p56; PMC11622351, RESULTS > Comparison 3: High dose vs low dose zinc supplementation > Risk of bias, p55",
EV-K5-40334186,include,INCLUDE,research_v3/full_text/oa_xml/PMC12058182.xml,권혁찬,2026-07-13T11:55:09.994Z,"PMC12058182, Discussion, p28; PMC12058182, Results > Secondary outcome > Treatment-associated adverse event rates., p20; PMC12058182, Materials and methods > Synthesis methods, p11; PMC12058182, Introduction, p3; PMC12058182, Supporting information, p31",
EV-K5-41294920,include,INCLUDE,research_v3/full_text/oa_xml/PMC12651211.xml,권혁찬,2026-07-13T11:55:11.082Z,"PMC12651211, 7. Intervention Strategies > 7.1. Zinc Supplementation, p44; PMC12651211, 8. Risk Factors and Barriers to Zinc Intervention > 8.3. Supplementation Acceptance and Compliance Issues, p52; PMC12651211, 9. Conclusions, p55; PMC12651211, 7. Intervention Strategies > 7.1. Zinc Supplementation, p43; PMC12651211, 5. Zinc Dosage and Administration During Diarrhea > 5.2. Duration and Formulation Types, p37",
