review_id,strategy_id,query_sha256,reviewer_id,review_date_utc,question_number,criterion,rating,comment,required_change,resolution,status
PRESS-K3-05,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,5,지나치게 넓거나 좁은 검색 블록,,,,,not_reviewed
PRESS-K3-06,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,6,알려진 핵심 문헌 회수,,,,,not_reviewed
PRESS-K3-07,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,,,7,불필요한 제한과 편향 위험,,,,,not_reviewed
PRESS-K4-01,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,1,연구질문과 검색개념의 일치,,,,,not_reviewed
PRESS-K4-02,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,2,주제명(MeSH)과 자유어 누락,,,,,not_reviewed
PRESS-K4-03,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,3,철자·구문·괄호·필드 태그,,,,,not_reviewed
PRESS-K4-04,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,4,Boolean 연산자와 근접연산자 사용,,,,,not_reviewed
PRESS-K4-05,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,5,지나치게 넓거나 좁은 검색 블록,,,,,not_reviewed
PRESS-K4-06,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,6,알려진 핵심 문헌 회수,,,,,not_reviewed
PRESS-K4-07,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,,,7,불필요한 제한과 편향 위험,,,,,not_reviewed
PRESS-K5-01,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,1,연구질문과 검색개념의 일치,,,,,not_reviewed
PRESS-K5-02,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,2,주제명(MeSH)과 자유어 누락,,,,,not_reviewed
PRESS-K5-03,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,3,철자·구문·괄호·필드 태그,,,,,not_reviewed
PRESS-K5-04,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,4,Boolean 연산자와 근접연산자 사용,,,,,not_reviewed
PRESS-K5-05,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,5,지나치게 넓거나 좁은 검색 블록,,,,,not_reviewed
PRESS-K5-06,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,6,알려진 핵심 문헌 회수,,,,,not_reviewed
PRESS-K5-07,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,,,7,불필요한 제한과 편향 위험,,,,,not_reviewed
