review_id,strategy_id,query_sha256,reviewer_id,review_date_utc,question_number,criterion,rating,comment,required_change,resolution,status
PRESS-K2-06,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:30.473Z,6,알려진 핵심 문헌 회수,yes,,,accepted_without_change,completed
PRESS-K2-07,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:30.681Z,7,불필요한 제한과 편향 위험,yes,,,accepted_without_change,completed
PRESS-K3-01,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:30.772Z,1,연구질문과 검색개념의 일치,yes,,,accepted_without_change,completed
PRESS-K3-02,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:30.865Z,2,주제명(MeSH)과 자유어 누락,yes,,,accepted_without_change,completed
PRESS-K3-03,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:31.064Z,3,철자·구문·괄호·필드 태그,yes,,,accepted_without_change,completed
PRESS-K3-04,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:31.142Z,4,Boolean 연산자와 근접연산자 사용,yes,,,accepted_without_change,completed
PRESS-K3-05,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:31.261Z,5,지나치게 넓거나 좁은 검색 블록,yes,,,accepted_without_change,completed
PRESS-K3-06,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:31.339Z,6,알려진 핵심 문헌 회수,yes,,,accepted_without_change,completed
PRESS-K3-07,K3,174afc558acde725c9484f7eb83fe3c3582a0b191ec00387f2ffbc849315346f,권혁찬,2026-07-13T11:26:31.459Z,7,불필요한 제한과 편향 위험,yes,,,accepted_without_change,completed
PRESS-K4-01,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:31.540Z,1,연구질문과 검색개념의 일치,yes,,,accepted_without_change,completed
PRESS-K4-02,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:31.660Z,2,주제명(MeSH)과 자유어 누락,yes,,,accepted_without_change,completed
PRESS-K4-03,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:31.744Z,3,철자·구문·괄호·필드 태그,yes,,,accepted_without_change,completed
PRESS-K4-04,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:31.859Z,4,Boolean 연산자와 근접연산자 사용,yes,,,accepted_without_change,completed
PRESS-K4-05,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:31.942Z,5,지나치게 넓거나 좁은 검색 블록,yes,,,accepted_without_change,completed
PRESS-K4-06,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:32.060Z,6,알려진 핵심 문헌 회수,yes,,,accepted_without_change,completed
PRESS-K4-07,K4,7d3b447f66ee4d2e78b23b4c535c1047caeddd92f82f0b72fb525051d6ecafde,권혁찬,2026-07-13T11:26:32.146Z,7,불필요한 제한과 편향 위험,yes,,,accepted_without_change,completed
PRESS-K5-01,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.266Z,1,연구질문과 검색개념의 일치,yes,,,accepted_without_change,completed
PRESS-K5-02,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.351Z,2,주제명(MeSH)과 자유어 누락,yes,,,accepted_without_change,completed
PRESS-K5-03,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.471Z,3,철자·구문·괄호·필드 태그,yes,,,accepted_without_change,completed
PRESS-K5-04,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.556Z,4,Boolean 연산자와 근접연산자 사용,yes,,,accepted_without_change,completed
PRESS-K5-05,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.675Z,5,지나치게 넓거나 좁은 검색 블록,yes,,,accepted_without_change,completed
PRESS-K5-06,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.758Z,6,알려진 핵심 문헌 회수,yes,,,accepted_without_change,completed
PRESS-K5-07,K5,ba2c2d315cc1dfe068db7e87dd53bec08f587ae5249299de6e908c56a8a41aa2,권혁찬,2026-07-13T11:26:32.877Z,7,불필요한 제한과 편향 위험,yes,,,accepted_without_change,completed
